seconds,situations,mirrored,probing
68.72,9650000,122,206643288
68.83,9660000,122,207154761
68.97,9670000,122,207876984
69.13,9680000,122,208699089
69.28,9690000,122,209485765
69.44,9700000,122,210335226
69.60,9710000,122,211148179
69.75,9720000,122,211921820
69.89,9730000,122,212635752
70.02,9740000,123,213269439
70.13,9750000,123,213745124
70.26,9760000,127,214401936
70.39,9770000,127,215009332
70.51,9780000,127,215534497
70.64,9790000,127,216149009
70.77,9800000,127,216829101
70.89,9810000,127,217423326
71.01,9820000,127,217951575
71.15,9830000,127,218686052
71.32,9840000,127,219554428
71.48,9850000,129,220390240
71.62,9860000,129,221138000
71.73,9870000,130,221595116
71.88,9880000,130,222395955
72.06,9890000,130,223404839
72.22,9900000,130,224193399
72.39,9910000,130,225072739
72.55,9920000,130,225925236
72.68,9930000,130,226525745
72.82,9940000,130,227233818
72.99,9950000,130,228139863
73.14,9960000,130,228890027
73.32,9970000,130,229740504
73.48,9980000,130,230543006
73.63,9990000,130,231266188
73.80,10000000,130,232105765
73.95,10010000,130,232844781
74.10,10020000,131,233600291
74.24,10030000,131,234295763
74.40,10040000,131,235095635
74.55,10050000,131,235765468
